timestamp,open,high,low,close,volume
2019-04-12,120.6400,120.9800,120.3700,120.9500,19745143
2019-04-11,120.5400,120.8500,119.9200,120.3300,14209121
2019-04-10,119.7600,120.3500,119.5400,120.1900,16477169
2019-04-09,118.6300,119.5400,118.5800,119.2800,17611981
2019-04-08,119.8100,120.0200,118.6400,119.9300,15116186
2019-04-05,119.3900,120.2300,119.3700,119.8900,15826245
2019-04-04,120.1000,120.2300,118.3800,119.3600,20112848
2019-04-03,119.8600,120.4300,119.1500,119.9700,22860744
2019-04-02,119.0600,119.4800,118.5200,119.1900,18142297
2019-04-01,118.9500,119.1085,118.1000,119.0200,22789103
2019-03-29,118.0700,118.3200,116.9600,117.9400,25399752
2019-03-28,117.4400,117.5800,116.1300,116.9300,18334755
2019-03-27,117.8750,118.2100,115.5215,116.7700,22733427
2019-03-26,118.6200,118.7050,116.8500,117.9100,26097665
2019-03-25,116.5600,118.0100,116.3224,117.6600,27067117
2019-03-22,119.5000,119.5900,117.0400,117.0500,33624528
2019-03-21,117.1350,120.8200,117.0900,120.2200,29854446
2019-03-20,117.3900,118.7500,116.7100,117.5200,28113343
2019-03-19,118.0900,118.4400,116.9900,117.6500,37588697
2019-03-18,116.1700,117.6100,116.0500,117.5700,31207596
2019-03-15,115.3400,117.2500,114.5900,115.9100,54630661
2019-03-14,114.5400,115.2000,114.3300,114.5900,30763367
2019-03-13,114.1300,115.0000,113.7800,114.5000,35513771
2019-03-12,112.8200,113.9900,112.6499,113.6200,26132717
2019-03-11,110.9900,112.9500,110.9800,112.8300,26491618
2019-03-08,109.1600,110.7100,108.8000,110.5100,22818430
2019-03-07,111.4000,111.5500,109.8650,110.3900,25338954
2019-03-06,111.8700,112.6600,111.4300,111.7500,17686996
2019-03-05,112.2500,112.3900,111.2300,111.7000,19538318
2019-03-04,113.0200,113.2500,110.8000,112.2600,26608014
2019-03-01,112.8900,113.0200,111.6650,112.5300,23501169
2019-02-28,112.0400,112.8800,111.7300,112.0300,29083934
2019-02-27,111.6900,112.3600,110.8800,112.1700,21487062
2019-02-26,111.2600,113.2400,111.1700,112.3600,21536733
2019-02-25,111.7600,112.1800,111.2600,111.5900,23750599
2019-02-22,110.0500,111.2000,109.8200,110.9700,27763218
2019-02-21,106.9000,109.4800,106.8700,109.4100,29063231
2019-02-20,107.8600,107.9400,106.2900,107.1500,21607671
2019-02-19,107.7900,108.6600,107.7800,108.1700,18038460
2019-02-15,107.9100,108.3000,107.3624,108.2200,26606886
2019-02-14,106.3100,107.2900,105.6600,106.9000,21784703
2019-02-13,107.5000,107.7800,106.7100,106.8100,18394869
2019-02-12,106.1400,107.1400,105.4800,106.8900,25056595
2019-02-11,106.2000,106.5800,104.9650,105.2500,18914123
2019-02-08,104.3900,105.7800,104.2603,105.6700,21461093
2019-02-07,105.1850,105.5900,104.2900,105.2700,29760697
2019-02-06,107.0000,107.0000,105.5300,106.0300,20609759
2019-02-05,106.0600,107.2700,105.9600,107.2200,27325365
